free_text,label_id
giọng ca hảm chết cdm ng nghê luôn mà share cái j,offensive
"Cán bộ tham nhũng bị bắt tại trận cho hay: ""Ai thề nấy chịu, tui ko có thề nhé!""",hate
Cân thận nó lại keu phản động :v,offensive
"giác ngộ đi , tp HCM nhé , bác giết SG rồi 😆😆😆😆",hate
Chị ba vàng ngọc có cây nọc mọc giữa háng chị ba thêm hai trái dâu lủng lẳng. Bệnh nặng giữ lắm rồi đồ bóng khùng.nói chuyện là biết khùng điên rồi.,hate
Stupid cực mạnh,offensive
dân ngu cu đen chết cả thôi,hate
dou ma thầy,hate
"Giống mấy thằng fan NTN. Chê thằng NTN làm video thiếu ý thức xong nó nhảy vào bảo "" có bằng ngta không mà nói"" clm =))",hate
Ní nuận của dlv đây 🤣,hate
Ca sĩ k-icm đéo gì 🙂 ca sĩ câm,hate
Nieu mấy bà này sống thật thì phải có đạo đức! mấy bà này ko có đạo đức nói chuyện nghề ko có lót lỗ tai cái đồ quốc gia chế độ cũ bị lật đổ,hate
Đọc mấy dòng cuối tức muốn điên luôn,offensive
"Cướp đêm là giặc, cướp ngày là quan. hate4/7 lúc nào cũng phải nơm nớp. Than ôi cái đất nước hạnh phúc",hate
Minh Thông 😂😂 có thể kiêng bú cu chứ ko thể bớt chuyện cười đc,offensive
"Ồ ,tự nhiên add làm e nhớ mấy ông áo vàng cho lính đánh xe taxi chặn đường để bắt sai làn :)))",hate
"Cái ảnh hưởng là ảnh hưởng đến thần kinh của mấy thằng não chó suốt ngày mở mồm là đmcs trong khj còn ăn hạt gạo, uống giọt nước do cs làm ra. Ngu như chó vậy",hate
Thế ngày xưa ông nội thằng ad k mua dâm mẹ nó. Thì đâu đẻ ra thằng ad như ngày nay dc :))))),hate
Cách phân biệt thằng ngu ba gà và ba vi thì đúng hơn đó thầy,hate
"Thật ra thì nó đéo thích là đéo bh thích đâu chỉ là đợi đợi xem có cái kèo mới ngon hơn , thơm hơn không thoi còn không có thì vẫn có offensive thằng ngu cứ ngồi đó đợi mình , qt , lo lắng dại đéo gì mà nói ra cho nó biết mình là nó không thích mình lỡ mình bỏ đi thì toi , gọi là bỏ thì tiếc mà đéo muốn lấy . Món đấy dai nhai tốn thời gian lắm tốt nhất vứt mẹ đi kiếm món mới cho lành :)))))",offensive
dm ông nói phét à 🙂 cái vòng cổ đã quá hatel cụ rồi,offensive
Nó dạy thế này đây.người e yêu thương k phải bố cũng chẳng phải mẹ.mà là chú bộ đội. Ngu mà làm đc tổng thống mỹ thì ai cũng muốn ngu,hate
Chac bj dua mat day nao hach nich dang linh tinh thoi..chu dua nao ma ngu hon ca cho moi sua ra cau nay...,offensive
"Không thể tha thứ cho loại mat dạy này,",offensive
Vân Thuỳ xàm vl :)),hate
"Dẹp hết lũ sư quốc doanh đi , vừa là ổ phá hoại đạo pháp vừa là cơ sở của bọn nằm vùng và phá nát văn hoá VN",hate
"Đánh chết cụ mấy tg nhà báo đó đi, láo lz, nta đéo cho còn cố vào tự ý hành động, dm mấy tg nhà báo tốt nghiệp TTGDTX thì có quy củ đb j, đánh chết mẹ nó đi",hate
kệ tổ nhà chúng nó chứ mắc mớ gì thế,offensive
Con này là bê đê bong lộ xấu gớm... xấu xúc phạm ng nhìn...,hate
Thua lào vs campuchia rùi.phát triển thụt lùi cmne,offensive
Lý do offensive đứa con gái chấp nhận yêu xa là thằng kia nó giàu vailou. Hết.....!!!!,offensive
Đm chúng mày,hate
"Tụi dâm loạn viên ăn hết đống cá rồi tắm biển hết đi nha, sao mấy vụ này chả thấy thằng DLV nào vào sủa vậy, ẳng nữa đi mấy cưng",hate
Mẹ đang bận đi ỉa lại gọi đi khét quất,offensive
mai ông Hùng King về bẻ cổ chúng nó !,hate
"Mồ tổ cha mày. Đăng mà cũng lược bỏ đi chi tiết: Cty hổ trợ offensivethùng number one, bình đựng nước đá. Nhưng anh này...tham thêm offensivechút là đòi offensivenormal thùng number one. Đừg ngu mà tỏ nguy hiểm nha ad",hate
Mặt dầy như đít trâu,offensive
Đmm.luc trc may bợ lol nó.jo chưi no.do suc vat.bede thay pai roi.nghiep chuong,hate
Thằng cây atm hack chứ ai,hate
chỉ offensive người đứng ra thì làm được gì khi mà tất cả những kẻ khác chỉ biết đứng đó nhìn xem gió thổi chiều nào ta bay theo chiều đó,offensive
Bằng chứng thằng miền bắc nói là chiếm giùm sẽ trả lại xem nào. Việt tân nói thế à,hate
"Trời h mà đụng tới bk là mì chết sớm nhe con kia , chết ko kịp ngáp , mất dạy",hate
"Bữa nghe bảo anh này nhiễm phóng xạ, nằm viện này nọ cơ mà 😏",offensive
thôi ông im mẹ mồm :)),hate
"Hải Yến vl chưa xem đã cảm thấy chán hơn r, thì thôi lạy m 🙏🙏🙏",hate
Cmt nhớ mang theo não nha :'(,offensive
"Thực ra: ba que là bọn ăn trên ngồi chốc. Chỉ mị dân cai trị để tham nhủng làm đất nước tụt hậu.. chúng là thầy của bọn bò đỏ.. mà bò mãi O nhận ra vì nhồi sọ umê, chửi càng, bò ơi nghỉ lại đi, chứ đừng để bị làm nội tạng cho giặc tàu..!",hate
ảnh hưởng cái cc gì. dm chúng nó bán cmnr,hate
Chúng bắt đầu cho báo chí đổ tại người dân dọn nhà đón Tết gây ra ô nhiễm kìa,hate
Lỗ đít nè chơi đi,offensive
Admin làm một bài post để thể hiện sự ngu si. Chắc sợ mọi người không biết,hate
Vailon,offensive
"Tui tin là boác kính yêu nói được hate9 ngôn ngữ đó mọi người. Chắc là boác chỉ nói được chữ Hello bang hate9 ngôn ngữ ( Hi, Bon jour, Hola, Nĩ hảo, Hallo, Ciao...) mà tại tụi bưng bô bốc phét nói là boác nói hate9 ngôn ngữ :).",hate
Dm bọn Việt tân nhé,hate
":)))) sao anh đếch ở nước ngoài luôn đi về đây làm gì để bị ""đối xử "" như thế. Câm mẹ mồm ông vào. Có tí tiền lo mà bổ túc lại cái não đi",hate
mấy thằng trong soha đéo biết tốt nghiệp xong cấp 3 chưa nhỉ :v,hate
"sắp trầm cảm cmnr , nhiều tâm sự cứ giữ mãi trong lòng và che dấu bằng nụ cười 😷",offensive
Ý thức như l dị đó,offensive
Hau Nguyen con cặc :v,hate
Mày chửi đi ad . Sủa nhiều vào mọi khi sủa kinh lắm mà,hate
cai cc,offensive
Đmcs,hate
Tên loài sinh vật lạ :Dư luận viên,hate
dân gian người ta gọi là mặt dầy,offensive
Ngáo thế,offensive
"Cái lỗ mũi như lỗ trâu mà còn ngột ngạt,hít hết cả khí trời của ngta rồi còn j.",offensive
Ngứa hết cả cặc,offensive
"Hởi toàn thể 9normal trịu dân VN chúng ta hãy truy tìm kẻ khốn nạn này. Đây là tiền thúê của chúg ta góp vào phục vụ đất nước, sao chúng trộm làm của riêng? Đậu móa anh chịu hết nổi rồi",hate
Chị ba đẹp gái có hai hòn dái hai bên,hate
Đập sắp mặt sena thầy ơi,hate
"sông cửu long thì bọn cẩu nó ngăn nước đầu nguồn , giờ miền trung thì xả chất độc :( chả có cái gì bọn cẩu này ko làm đc",hate
Quần què là có thật à. :)))),offensive
chán luôn,offensive
Ôi thơm tho j. Ko co quan hệ thì vào lam cung bị đào thải. Mấy nghanh ma dân thuong vn ko bao gio vao đx. Cong an. Quan đội. Ngan hang nha nc. Hang không. Đừng mơ mà vào. Nếu vao đc cung lam cu li sai vat cho tui no. Đm,offensive
Vlol v:))),offensive
Thùy Trang nghe chưa dc offensive5s tắt cmnr nhạc vs nhẽo,offensive
Nứng nứng nứng à,offensive
"Ôi dòi ad não phẳng muốn phản động nhưng k ai bênh mà, chỉ dùng vài bức ảnh, sử dụng PTS chèn chữ vào thôi, thật là lạc hậu quá, ad là tg nhà quê.",hate
"Bênh bênh cl nè,ahihi <("")",offensive
"Mặt bà này là biết có dương vật ở dưới háng , mặt nhìn coi không có hậu gì hết .ăn nói như giang hồ mất dạy",hate
Và bộ tộc mixi cũng từ đó ra đời dưới sự lãnh đạo của tộc trưởng người Cao Bằng buồi to như lõi giấy vệ sinh =)),hate
"Dm trọng lắm chiêu, nhìu trò.eo lam đc cc gi",hate
